	SMALL LoBM LoOP	ME1 BM1 OP2	ME1 BM1 OP3	SMALL LoBM HiOP	ME1 BM2 OP1	ME1 BM2 OP2	ME1 BM2 OP3	ME1 BM2 OP4	ME1 BM3 OP1	ME1 BM3 OP2	ME1 BM3 OP3	ME1 BM3 OP4	SMALL HiBM LoOP	ME1 BM4 OP2	ME1 BM4 OP3	SMALL HiBM HiOP	BIG LoBM LoOP	ME2 BM1 OP2	ME2 BM1 OP3	BIG LoBM HiOP	ME2 BM2 OP1	ME2 BM2 OP2	ME2 BM2 OP3	ME2 BM2 OP4	ME2 BM3 OP1	ME2 BM3 OP2	ME2 BM3 OP3	ME2 BM3 OP4	BIG HiBM LoOP	ME2 BM4 OP2	ME2 BM4 OP3	BIG HiBM HiOP
200204	-10.6549	-1.0028	1.7316	3.2344	-6.0195	5.6625	5.1057	4.8826	-0.1785	5.1610	6.2584	7.9602	0.3438	9.3430	13.1453	0.6159	-11.7099	-9.5171	-4.6327	-7.6135	-7.4385	0.6634	-6.5918	-3.8272	-0.1321	0.5299	1.3201	-3.0890	-5.5103	-0.9436	1.0273	0.5741
200205	-10.8224	-5.9184	-5.4031	-2.9066	-5.0961	-2.1434	-2.1588	-2.9995	-4.1514	-0.5372	-2.0421	-3.8918	-4.4501	-0.5182	-3.6188	-0.6666	-4.1832	-2.4705	-2.6877	-0.7733	-3.2049	-0.5405	0.9052	0.3192	-3.0071	0.4130	-0.0598	1.5194	-1.0566	0.9184	1.9577	0.4822
200206	-10.6627	-9.2008	-4.3150	-3.4900	-6.9395	-3.3432	0.4927	-2.3590	-3.3114	0.1097	-1.6179	-2.1559	-4.5748	-0.4533	-4.4093	-7.5422	-9.8226	-7.5369	-9.7811	-7.3231	-12.0359	-5.1266	-3.9830	-3.9819	-5.3620	-6.3609	-3.0450	-5.7944	-12.8612	-3.4276	-6.6766	-7.1183
200207	-17.0529	-18.0711	-13.8439	-12.4051	-18.4586	-14.4536	-10.5920	-14.8021	-15.5556	-12.2647	-15.0215	-15.6225	-17.4450	-16.1144	-15.2614	-23.3718	-5.8613	-7.1876	-7.7665	-3.3455	-10.9616	-11.8014	-10.3642	-8.2396	-8.2727	-12.0850	-5.5285	-3.9900	-12.7513	-10.1414	-9.8074	-13.9693
200208	-3.1863	1.0108	1.5707	1.5544	-2.7873	-0.4811	1.1244	1.1499	-1.3879	0.7363	-0.3053	2.1200	-1.4268	-2.1777	1.7817	6.3062	-3.1454	-0.9312	2.9653	-0.3246	-1.1049	-1.1665	0.2748	-0.7834	0.1346	3.4084	3.2013	0.6790	3.7076	5.2336	4.9252	3.3949
200209	-12.7945	-9.7926	-5.5039	-4.8482	-13.8624	-6.4283	-4.7490	-5.1695	-10.7487	-6.6374	-6.5912	-3.6594	-7.1397	-6.9346	-7.4372	-8.7808	-15.2197	-11.6295	-8.4223	-11.3659	-12.1540	-10.6246	-10.1608	-9.3312	-7.4214	-14.3409	-8.5257	-8.2333	-10.0544	-8.2428	-10.3121	-14.6677
200210	10.5043	6.6205	5.3250	2.1873	11.4408	5.6130	2.0660	1.7558	2.3664	2.3340	-1.2656	-4.1873	1.1959	0.0830	-3.6582	7.0743	13.6534	16.7284	8.5691	9.7264	9.7853	7.6705	6.8332	1.2819	6.7317	6.4902	3.6054	1.8065	7.9300	2.9933	5.0784	-12.7421
200211	21.9652	14.5731	7.1983	4.8480	19.9324	5.3603	4.4251	3.1030	12.6086	4.7109	5.1551	5.4341	12.2525	2.8286	6.6661	16.7153	19.0853	8.1370	0.7639	4.2713	9.9061	12.6108	3.6527	3.1155	8.4708	9.3729	1.3680	3.0443	8.5569	3.1244	5.1416	16.7129
200212	-14.0410	-8.3739	-4.1776	-2.9156	-10.7628	-3.4424	-2.4394	-0.5016	-6.5622	-2.6241	-1.9207	-0.4524	-6.6397	-0.6321	-1.1495	-0.4476	-12.8759	-11.4463	-5.8167	-4.3350	-8.3179	-6.9359	-3.9816	-3.7993	-8.4623	-5.6867	-1.0977	0.0601	-6.7615	-0.4079	0.8035	-4.1465
200301	-3.1460	0.8874	-3.5594	-2.5319	-1.2238	-4.2900	-2.0869	-2.5958	-2.0360	-0.0639	-1.1896	-2.7747	0.0977	-1.9602	-0.0237	-3.9803	3.9567	-4.4425	-3.6305	-2.7834	-3.1020	-5.4633	-2.3935	-2.3866	-1.4304	-2.0021	-0.6541	-1.3836	-2.8033	-8.5829	-2.4424	-2.8809
